SeverityLabel,ProductName,Description,ResourceTypes,ResourceIds
MEDIUM,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/eng2
MEDIUM,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/consultant1
MEDIUM,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/csmith
MEDIUM,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/csmith-temp
INFORMATIONAL,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/pu1
MEDIUM,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/eng1
INFORMATIONAL,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/ds1
MEDIUM,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/tech1
INFORMATIONAL,aws/securityhub,This control checks whether your IAM users have passwords or active access keys that were not used within the previous 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/mynamehere
MEDIUM,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/consultant1
MEDIUM,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/tech1
MEDIUM,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/mynamehere
MEDIUM,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/ds1
MEDIUM,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/pu1
INFORMATIONAL,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/csmith
MEDIUM,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/csmith-temp
MEDIUM,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/eng2
MEDIUM,aws/securityhub,This AWS control checks whether AWS Multi-Factor Authentication (MFA) is enabled for all AWS Identity and Access Management (IAM) users that use a console password.,AwsIamUser,arn:aws:iam::997075698610:user/eng1
LOW,aws/securityhub,"AWS provides a support center that can be used for incident notification and response, as well as technical support and customer services. Create an IAM Role to allow authorized users to manage incidents with AWS Support.",AwsAccount,AWS::::Account:997075698610
INFORMATIONAL,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/pu1
INFORMATIONAL,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/mynamehere
INFORMATIONAL,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/consultant1
INFORMATIONAL,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/tech1
INFORMATIONAL,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/eng2
INFORMATIONAL,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/csmith-temp
INFORMATIONAL,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/ds1
MEDIUM,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/csmith
INFORMATIONAL,aws/securityhub,This AWS control checks whether the active access keys are rotated within 90 days.,AwsIamUser,arn:aws:iam::997075698610:user/eng1
